년월,시도,시군구,충전요금,고객호수,판매량,판매수입
2025-04,충청북도,제천시,사업자용,341,525561,97367812
2025-04,충청북도,증평군,자가용,65,42340,6116267
2025-04,충청북도,증평군,사업자용,91,117363,22690396
2025-04,충청북도,진천군,자가용,247,115654,18328932
2025-04,충청북도,진천군,사업자용,299,420106,75621616
2025-04,충청북도,충주시,자가용,642,427685,60856807
2025-04,충청북도,충주시,사업자용,604,1145551,196975087
2025-04,충청북도,청주시 상당구,자가용,375,559189,70330245
2025-04,충청북도,청주시 상당구,사업자용,470,1026996,144929337
2025-04,충청북도,청주시 서원구,자가용,315,521506,71141204
2025-04,충청북도,청주시 서원구,사업자용,478,809262,124309741
2025-04,충청북도,청주시 청원구,자가용,349,301121,42174456
2025-04,충청북도,청주시 청원구,사업자용,566,1004197,160555763
2025-04,충청북도,청주시 흥덕구,자가용,417,654449,86819583
2025-04,충청북도,청주시 흥덕구,사업자용,714,1439663,219873488
2025-04,광주광역시,남구,자가용,186,88236,15023330
2025-04,광주광역시,남구,사업자용,547,657971,97334270
2025-04,광주광역시,동구,자가용,113,70845,10578912
2025-04,광주광역시,동구,사업자용,312,415845,67585030
2025-04,광주광역시,북구,자가용,391,278953,40645128
2025-04,광주광역시,북구,사업자용,1005,1522037,241419116
2025-04,광주광역시,서구,자가용,270,318820,45488301
2025-04,광주광역시,서구,사업자용,815,1110402,183688658
2025-04,광주광역시,광산구,자가용,504,257667,42017917
2025-04,광주광역시,광산구,사업자용,1125,1527956,245049897
2025-04,대구광역시,남구,자가용,234,138771,20388393
2025-04,대구광역시,남구,사업자용,164,234975,38158185
2025-04,대구광역시,동구,자가용,496,541449,75881653
2025-04,대구광역시,동구,사업자용,792,1316120,213654360
2025-04,대구광역시,북구,자가용,426,415088,55324643
2025-04,대구광역시,북구,사업자용,1059,1744128,275735266
2025-04,대구광역시,서구,자가용,250,204499,30206001
2025-04,대구광역시,서구,사업자용,182,247652,40308330
2025-04,대구광역시,중구,자가용,105,133967,19325718
2025-04,대구광역시,중구,사업자용,197,263135,40748142
2025-04,대구광역시,군위군,자가용,123,68054,9550277
2025-04,대구광역시,군위군,사업자용,71,286726,50195020
2025-04,대구광역시,달서구,자가용,485,418884,61746037
2025-04,대구광역시,달서구,사업자용,1121,2022131,304872039
2025-04,대구광역시,달성군,자가용,449,341184,49104660
2025-04,대구광역시,달성군,사업자용,754,1396797,223377100
2025-04,대구광역시,수성구,자가용,461,305512,46329288
2025-04,대구광역시,수성구,사업자용,934,1441285,215806660
2025-04,대전광역시,동구,자가용,295,280432,40021073
2025-04,대전광역시,동구,사업자용,419,714751,106618036
2025-04,대전광역시,서구,자가용,377,235433,35954042
2025-04,대전광역시,서구,사업자용,1032,1705123,256325351
2025-04,대전광역시,중구,자가용,275,329453,46898570
2025-04,대전광역시,중구,사업자용,446,662472,108375502
2025-04,대전광역시,대덕구,자가용,243,520644,66098622
2025-04,대전광역시,대덕구,사업자용,396,685030,109057546
2025-04,대전광역시,유성구,자가용,360,528374,74684893
2025-04,대전광역시,유성구,사업자용,1351,1904970,299450394
2025-04,부산광역시,남구,자가용,107,161624,23954520
2025-04,부산광역시,남구,사업자용,544,1167256,158470502
2025-04,부산광역시,동구,자가용,51,33360,5630515
2025-04,부산광역시,동구,사업자용,117,200299,29375343
2025-04,부산광역시,북구,자가용,65,35714,5710790
2025-04,부산광역시,북구,사업자용,571,799953,114213227
2025-04,부산광역시,서구,자가용,37,30759,4615907
2025-04,부산광역시,서구,사업자용,151,182907,31301561
2025-04,부산광역시,중구,자가용,20,10666,1957470
2025-04,부산광역시,중구,사업자용,45,48242,10478047
2025-04,부산광역시,강서구,자가용,216,123175,21565418
2025-04,부산광역시,강서구,사업자용,514,960160,142497617
2025-04,부산광역시,금정구,자가용,166,142287,19346498
2025-04,부산광역시,금정구,사업자용,434,1008483,139641925
2025-04,부산광역시,기장군,자가용,234,747597,93396029
2025-04,부산광역시,기장군,사업자용,347,781088,130775229
2025-04,부산광역시,동래구,자가용,118,69116,9983616
2025-04,부산광역시,동래구,사업자용,485,822636,114576234
2025-04,부산광역시,사상구,자가용,95,60861,10133226
2025-04,부산광역시,사상구,사업자용,472,806088,123136384
2025-04,부산광역시,사하구,자가용,123,74291,11471114
2025-04,부산광역시,사하구,사업자용,573,714108,109786672
2025-04,부산광역시,수영구,자가용,103,288832,37270536
2025-04,부산광역시,수영구,사업자용,290,839626,109492815
2025-04,부산광역시,연제구,자가용,89,48072,8831668
2025-04,부산광역시,연제구,사업자용,457,838640,117151701
2025-04,부산광역시,영도구,자가용,54,709401,85522352
2025-04,부산광역시,영도구,사업자용,172,253706,41227739
2025-04,부산광역시,부산진구,자가용,127,363181,44968104
2025-04,부산광역시,부산진구,사업자용,645,906714,126678798
2025-04,부산광역시,해운대구,자가용,131,568480,71209099
2025-04,부산광역시,해운대구,사업자용,1120,1837362,258833657
2025-04,서울특별시,중구,자가용,94,207532,32542470
